disease_code,শ্রেণী,প্রতিকার
blast,প্রতিরোধক,ব্লাস্ট-প্রতিরোধী নতুন ও উন্নত জাত ব্যবহার করুন
blast,প্রতিরোধক,"১.৫ গ্রাম ট্রাইসাইক্লাজোল ৭৫ ডব্লিউপি (ট্রোপার, সুজল, আদর্শ) প্রয়োগ করুন"
blast,প্রতিরোধক,গভীরভাবে হাল চাষ করা
blast,কৃষিপ্রক্রিয়াগত,অতিরিক্ত ইউরিয়া সার ব্যবহার পরিহার করুন
blast,কৃষিপ্রক্রিয়াগত,পাতায় ব্লাস্টের দাগ দেখা গেলে উপরি-প্রয়োগ সাময়িক স্থগিত রাখুন
blast,কৃষিপ্রক্রিয়াগত,উচ্চ ঝুঁকিপূর্ণ ঠান্ডা রাতে জমিতে অবিচ্ছিন্ন ও সমমানের পানির স্তর বজায় রাখুন
blast,রাসায়নিক,টেবুকোনাজোল + ট্রাইফ্লক্সিস্ট্রবিন (নেটিভো ৭৫ ডব্লিউজি)
blast,রাসায়নিক,"হেক্সাকোনাজোল ৫ ইসি (কনটাফ, হেক্সাজোল, ম্যাকজোল, অ্যাবাজোল, হেক্সা-বেস্ট)"
blast,রাসায়নিক,"কার্বেন্ডাজিম ৫০ ডব্লিউপি (আমকোজিম, বাভিস্টিন ডিএফ (বিএএসএফ), টার্বো, অটোস্টিন, বেনডাজিম ৫০ ডব্লিউপি (ন্যাশনাল এগ্রিকেয়ার), আরবা)"
blast,কৃষিপ্রক্রিয়াগত,ঘন করে বা গাদাগাদি করে চারা রোপণ করা থেকে বিরত থাকুন
blast,প্রতিরোধক,পানি নিষ্কাশন ব্যবস্থার উন্নতি করুন
blast,প্রতিরোধক,আগাছা ও বুনো ঘাস পরিষ্কার করা
blast,কৃষিপ্রক্রিয়াগত,নাইট্রোজেন/ইউরিয়া সার অবশ্যই তিন কিস্তিতে প্রয়োগ করুন
blb,প্রতিরোধক,প্রতি লিটার পানিতে ১০০ গ্রাম ব্লিচিং পাউডার মিশিয়ে বীজ ভিজিয়ে রাখুন
blb,প্রতিরোধক,২% জিংক সালফেট (Zinc Sulfate) দ্রবণে বীজ ভিজিয়ে রাখুন
blb,প্রতিরোধক,মাঠ পরিচ্ছন্নতা
blb,প্রতিরোধক,গ্রীষ্মকালে জমি গভীর চাষ বা গভীর লাঙল দিয়ে রাখুন
blb,প্রতিরোধক,"আক্রান্ত নাড়া বা গোড়া, মুড়ি ফসল এবং বুনো ঘাস ধ্বংস করুন"
blb,প্রতিরোধক,পাতার আগা কাটা বা ছাঁটাই করা থেকে বিরত থাকুন
blb,কৃষিপ্রক্রিয়াগত,সুষম মাত্রায় ইউরিয়া সার প্রয়োগ করুন
blb,কৃষিপ্রক্রিয়াগত,নাইট্রোজেন/ইউরিয়া সার অবশ্যই তিন কিস্তিতে প্রয়োগ করুন
blb,কৃষিপ্রক্রিয়াগত,রোগ বা সমস্যার লক্ষণ দেখামাত্রই ইউরিয়া সারের উপরি-প্রয়োগ তাৎক্ষণিকভাবে বন্ধ করুন
blb,কৃষিপ্রক্রিয়াগত,বিঘা প্রতি ৫-৭ কেজি মিউরেট অব পটাশ (MOP) প্রয়োগ করুন
blb,কৃষিপ্রক্রিয়াগত,৩-৫ দিনের জন্য খেতের পানি নিষ্কাশন করে শুকিয়ে নিন
